model,throughput,response_length,latency,energy,gpu,task,parameters_count,energy_per_token,dtype,optimization,quantization,cuda-fp16
28,27.4,256,9.34,3013.632,0,0,20.0,0.00327,1,2,5,False
42,42.3,256,6.05,1649.664,0,0,6.9,0.00179,1,2,5,False
41,39.9,256,6.41,1686.528,0,0,6.7,0.00183,1,2,5,False
31,54.8,256,4.67,1115.1360000000002,0,0,1.4,0.00121,1,2,5,False
24,30.8,256,8.31,2119.68,0,0,6.0,0.0023,1,2,5,False
32,36.6,256,6.99,2101.2480000000005,0,0,12.0,0.00228,1,2,5,False
30,55.5,256,4.61,1096.7040000000002,0,0,1.3,0.00119,1,2,5,False
33,36.6,256,7.0,2082.816,0,0,12.0,0.00226,1,2,5,False
36,81.3,256,3.15,756.6336,0,0,1.0,0.000821,1,2,5,False
26,114.0,256,2.25,502.272,0,0,0.125,0.000545,1,2,5,False
29,33.4,256,7.67,2313.216,0,0,12.8,0.00251,1,2,5,False
39,54.5,256,4.7,1078.272,0,0,0.41,0.00117,1,2,5,False
25,60.8,256,4.21,1041.408,0,0,1.3,0.00113,1,2,5,False
35,107.0,256,2.4,535.4496,0,0,0.16,0.000581,1,2,5,False
40,55.5,256,4.61,1087.4879999999998,0,0,0.41,0.0011799999999999,1,2,5,False
34,106.0,256,2.42,542.8224,0,0,0.16,0.000589,1,2,5,False
37,42.5,256,6.03,1483.776,0,0,2.7,0.00161,1,2,5,False
38,42.2,256,6.07,1492.992,0,0,2.8,0.00162,1,2,5,False
43,198.0,256,1.29,289.3824,0,0,0.07,0.000314,1,2,5,False
27,45.5,256,5.63,1428.48,0,0,2.7,0.00155,1,2,5,False
71,50.8,256,5.04,1188.864,0,0,1.1,0.00129,1,2,5,False
82,46.2,256,5.54,1308.672,0,0,0.46,0.00142,1,2,5,False
45,52.2,256,4.9,1253.376,0,0,3.0,0.0013599999999999,1,2,5,False
44,50.4,256,5.08,1262.592,0,0,3.0,0.00137,1,2,5,False
50,85.9,256,2.98,701.3376,0,0,0.248,0.000761,1,2,5,False
22,39.1,256,6.54,1815.5520000000004,0,0,7.0,0.00197,1,2,5,False
150,198.0,256,1.29,287.5392,0,0,0.031,0.000312,1,2,5,False
149,200.0,256,1.28,289.3824,0,0,0.031,0.000314,1,2,5,False
151,200.0,256,1.28,287.5392,0,0,0.031,0.000312,1,2,5,False
148,203.0,256,1.26,281.088,0,0,0.031,0.000305,1,2,5,False
152,202.0,256,1.27,284.7744,0,0,0.031,0.000309,1,2,5,False
53,48.1,256,5.32,1179.648,0,0,1.1,0.00128,1,2,5,False
55,48.9,256,5.24,1188.864,0,0,1.1,0.00129,1,2,5,False
54,50.4,256,5.08,1207.296,0,0,1.1,0.00131,1,2,5,False
51,41.0,256,6.25,1723.392,0,0,7.67,0.00187,1,2,5,False
156,64.8,256,3.95,885.6575999999999,0,0,0.345,0.0009609999999999,1,2,5,False
136,40.1,256,6.38,1751.04,0,0,7.0,0.0019,1,2,5,False
134,31.8,256,8.06,2451.456,0,0,13.0,0.00266,1,2,5,False
135,13.1,256,19.6,7483.392000000001,0,0,70.0,0.00812,1,2,5,False
180,76.2,256,3.36,921.6,0,0,3.0,0.001,1,2,5,False
139,31.7,256,8.08,2156.544,0,0,7.0,0.00234,1,2,5,False
153,37.2,256,6.88,1751.04,0,0,4.0,0.0019,1,2,5,False
154,37.0,256,6.92,1741.824,0,0,4.0,0.00189,1,2,5,False
133,36.4,256,7.04,1999.872,0,0,10.0,0.00217,1,2,5,False
83,66.8,256,3.83,917.9136,0,0,1.3,0.000996,1,2,5,False
84,32.4,256,7.91,2128.896,0,0,7.0,0.00231,1,2,5,False
5,143.0,256,1.79,406.4256,0,0,0.126,0.000441,1,2,5,False
10,57.8,256,4.43,1336.3200000000002,0,0,6.7,0.00145,1,2,5,False
8,23.1,256,11.1,4165.632,0,0,40.0,0.00452,1,2,5,False
6,34.7,256,7.37,2515.9680000000003,0,0,20.0,0.00273,1,2,5,False
9,54.6,256,4.69,1345.5359999999998,0,0,6.7,0.00146,1,2,5,False
4,75.5,256,3.39,866.304,0,0,1.3,0.00094,1,2,5,False
7,75.5,256,3.39,789.8112,0,0,0.356,0.000857,1,2,5,False
178,40.1,256,6.39,1760.256,0,0,7.0,0.00191,1,2,5,False
1,19.1,256,13.4,4635.648,0,0,34.0,0.00503,1,2,5,False
0,19.4,256,13.2,4654.08,0,0,34.0,0.00505,1,2,5,False
3,36.5,256,7.01,1870.848,0,0,6.0,0.00203,1,2,5,False
2,36.7,256,6.97,1861.632,0,0,6.0,0.00202,1,2,5,False
163,32.0,256,8.0,2128.896,0,0,7.0,0.00231,1,2,5,False
68,31.6,256,8.1,2423.808,0,0,13.0,0.00263,1,2,5,False
64,26.4,256,9.7,2460.672,0,0,6.0,0.0026699999999999,1,2,5,False
63,26.2,256,9.76,2930.688,0,0,16.0,0.00318,1,2,5,False
65,27.1,256,9.44,2442.24,0,0,6.0,0.00265,1,2,5,False
77,76.4,256,3.35,976.896,0,0,5.0,0.00106,1,2,5,False
78,34.9,256,7.34,2515.9680000000003,0,0,20.0,0.00273,1,2,5,False
162,39.3,256,6.52,1751.04,0,0,7.0,0.0019,1,2,5,False
113,12.0,256,21.3,7833.6,0,0,67.0,0.0085,1,2,5,False
120,125.0,256,2.05,462.6432,0,0,0.124,0.000502,1,2,5,False
112,54.5,256,4.7,1105.9199999999998,0,0,0.4,0.0012,1,2,5,False
111,39.3,256,6.51,1769.4719999999998,0,0,7.0,0.0019199999999999,1,2,5,False
47,37.1,256,6.9,1870.848,0,0,7.0,0.00203,1,2,5,False
95,166.0,256,1.54,344.6784,0,0,0.111,0.000374,1,2,5,False
96,44.6,256,5.74,1870.848,0,0,13.0,0.00203,1,2,5,False
99,55.3,256,4.63,1317.888,0,0,6.7,0.00143,1,2,5,False
97,57.4,256,4.46,1133.5680000000002,0,0,2.7,0.00123,1,2,5,False
94,77.1,256,3.32,838.656,0,0,1.3,0.00091,1,2,5,False
131,39.6,256,6.47,1751.04,0,0,7.0,0.0019,1,2,5,False
132,39.0,256,6.57,1797.12,0,0,7.0,0.00195,1,2,5,False
114,202.0,256,1.27,289.3824,0,0,0.031,0.000314,1,2,5,False
173,69.9,256,3.66,895.7952,0,0,1.0,0.000972,1,2,5,False
171,15.1,256,16.9,5686.272,0,0,40.0,0.00617,1,2,5,False
117,51.9,256,4.93,1456.128,0,0,7.5,0.0015799999999999,1,2,5,False
116,71.3,256,3.59,882.8928,0,0,0.564,0.000958,1,2,5,False
115,36.6,256,7.0,1806.336,0,0,4.5,0.00196,1,2,5,False
102,19.4,256,13.2,4626.432,0,0,34.0,0.00502,1,2,5,False
103,15.7,256,16.3,4866.048,0,0,26.0,0.00528,1,2,5,False
90,54.1,256,4.73,1382.4,0,0,7.0,0.0015,1,2,5,False
89,54.9,256,4.66,1188.864,0,0,3.0,0.00129,1,2,5,False
12,108.0,256,2.38,537.2927999999999,0,0,0.218,0.000583,1,2,5,False
14,105.0,256,2.43,555.7248000000001,0,0,0.22,0.000603,1,2,5,False
15,184.0,256,1.39,324.4032,0,0,0.081,0.000352,1,2,5,False
16,184.0,256,1.39,321.63840000000005,0,0,0.058,0.000349,1,2,5,False
13,170.0,256,1.51,340.992,0,0,0.101,0.00037,1,2,5,False
164,24.2,256,10.6,2893.824,0,0,10.7,0.00314,1,2,5,False
73,70.3,256,3.64,873.6768,0,0,0.881,0.000948,1,2,5,False
74,129.0,256,1.99,446.976,0,0,0.186,0.000485,1,2,5,False
72,41.2,256,6.22,2009.088,0,0,13.0,0.00218,1,2,5,False
155,32.1,256,7.98,2119.68,0,0,7.24,0.0023,1,2,5,False
48,39.8,256,6.44,1714.176,0,0,6.74,0.0018599999999999,1,2,5,False
19,52.4,256,4.89,1161.216,0,0,1.3,0.00126,1,2,5,False
165,32.1,256,7.98,2092.032,0,0,7.0,0.00227,1,2,5,False
168,79.3,256,3.23,1050.6240000000005,0,0,7.0,0.00114,1,2,5,False
167,81.3,256,3.15,858.9312,0,0,3.0,0.000932,1,2,5,False
166,40.5,256,6.32,1585.152,0,0,3.0,0.00172,1,2,5,False
127,13.5,256,18.9,7151.616,0,0,65.0,0.00776,1,2,5,False
126,31.3,256,8.18,2506.752,0,0,13.0,0.0027199999999999,1,2,5,False
52,31.4,256,8.16,2829.312,0,0,22.0,0.00307,1,2,5,False
159,301.0,256,0.851,195.3792,0,0,0.033,0.000212,1,2,5,False
160,166.0,256,1.54,336.384,0,0,0.003,0.000365,1,2,5,False
158,170.0,256,1.51,346.5216,0,0,0.028,0.000376,1,2,5,False
161,167.0,256,1.53,355.7376,0,0,0.008,0.000386,1,2,5,False
93,264.0,256,0.968,258.9696,0,0,1.0,0.000281,1,2,5,False
147,37.4,256,6.85,1797.12,0,0,7.0,0.00195,1,2,5,False
146,39.9,256,6.42,1760.256,0,0,7.0,0.00191,1,2,5,False
143,31.1,256,8.22,2442.24,0,0,13.0,0.00265,1,2,5,False
80,39.6,256,6.47,1797.12,0,0,7.0,0.00195,1,2,5,False
79,31.4,256,8.15,2442.24,0,0,13.0,0.00265,1,2,5,False
119,39.1,256,6.55,1797.12,0,0,7.0,0.00195,1,2,5,False
88,109.0,256,2.34,528.0767999999999,0,0,0.164,0.0005729999999999,1,2,5,False
87,91.1,256,2.81,656.1792,0,0,1.12,0.000712,1,2,5,False
174,42.4,256,6.04,1668.096,0,0,7.0,0.00181,1,2,5,False
175,42.7,256,6.0,1492.992,0,0,3.0,0.00162,1,2,5,False
176,42.0,256,6.1,1658.88,0,0,7.0,0.0018,1,2,5,False
23,30.5,256,8.39,2783.2319999999995,0,0,22.0,0.0030199999999999,1,2,5,False
129,17.3,256,14.8,4396.032,0,0,20.0,0.00477,1,2,5,False
21,21.0,256,12.2,3299.328,0,0,11.0,0.00358,1,2,5,False
17,27.7,256,9.25,2248.704,0,0,4.0,0.00244,1,2,5,False
18,42.3,256,6.05,1492.992,0,0,4.0,0.00162,1,2,5,False
177,24.4,256,10.5,2903.04,0,0,10.7,0.00315,1,2,5,False
125,38.0,256,6.73,1760.256,0,0,7.0,0.00191,1,2,5,False
124,13.5,256,18.9,7123.968000000001,0,0,65.0,0.00773,1,2,5,False
123,21.3,256,12.0,4267.008,0,0,30.0,0.00463,1,2,5,False
122,31.3,256,8.19,2433.024,0,0,13.0,0.00264,1,2,5,False
91,59.3,256,4.32,1041.408,0,0,1.3,0.00113,1,2,5,False
66,122.0,256,2.1,470.9376,0,0,0.137,0.000511,1,2,5,False
86,36.3,256,7.05,1907.712,0,0,6.0,0.00207,1,2,5,False
118,40.4,256,6.34,1732.608,0,0,7.0,0.00188,1,2,5,False
110,39.0,256,6.56,1751.04,0,0,7.0,0.0019,1,2,5,False
108,32.3,256,7.92,2414.592,0,0,13.0,0.00262,1,2,5,False
28,25.6,256,10.0,2995.2,0,0,20.0,0.00325,1,2,1,False
41,39.4,256,6.49,1741.824,0,0,6.7,0.00189,1,2,1,False
31,52.6,256,4.87,1142.784,0,0,1.4,0.00124,1,2,1,False
24,31.1,256,8.22,2055.168,0,0,6.0,0.0022299999999999,1,2,1,False
32,35.3,256,7.25,2082.816,0,0,12.0,0.00226,1,2,1,False
30,53.9,256,4.75,1142.784,0,0,1.3,0.00124,1,2,1,False
33,35.7,256,7.18,2128.896,0,0,12.0,0.00231,1,2,1,False
36,76.0,256,3.37,844.1856,0,0,1.0,0.000916,1,2,1,False
26,116.0,256,2.2,524.3904,0,0,0.125,0.000569,1,2,1,False
29,31.4,256,8.16,2368.512,0,0,12.8,0.00257,1,2,1,False
39,52.8,256,4.85,1152.0,0,0,0.41,0.00125,1,2,1,False
25,60.5,256,4.23,1013.76,0,0,1.3,0.0011,1,2,1,False
35,102.0,256,2.5,599.04,0,0,0.16,0.00065,1,2,1,False
40,53.1,256,4.82,1161.216,0,0,0.41,0.00126,1,2,1,False
34,103.0,256,2.49,589.8240000000001,0,0,0.16,0.00064,1,2,1,False
37,40.3,256,6.36,1529.856,0,0,2.7,0.00166,1,2,1,False
38,39.8,256,6.44,1557.504,0,0,2.8,0.0016899999999999,1,2,1,False
43,184.0,256,1.39,301.3632,0,0,0.07,0.000327,1,2,1,False
27,44.8,256,5.72,1410.048,0,0,2.7,0.00153,1,2,1,False
71,50.1,256,5.11,1170.4319999999998,0,0,1.1,0.0012699999999999,1,2,1,False
82,48.9,256,5.24,1225.728,0,0,0.46,0.00133,1,2,1,False
45,55.8,256,4.59,1152.0,0,0,3.0,0.00125,1,2,1,False
44,52.7,256,4.86,1161.216,0,0,3.0,0.00126,1,2,1,False
49,85.9,256,2.98,714.24,0,0,0.248,0.000775,1,2,1,False
50,84.5,256,3.03,699.4943999999999,0,0,0.248,0.0007589999999999,1,2,1,False
22,41.3,256,6.2,1631.232,0,0,7.0,0.00177,1,2,1,False
150,192.0,256,1.33,299.52,0,0,0.031,0.000325,1,2,1,False
149,195.0,256,1.31,317.0304,0,0,0.031,0.000344,1,2,1,False
151,192.0,256,1.33,298.5984,0,0,0.031,0.000324,1,2,1,False
148,191.0,256,1.34,298.5984,0,0,0.031,0.000324,1,2,1,False
152,194.0,256,1.32,297.6768,0,0,0.031,0.000323,1,2,1,False
53,51.4,256,4.98,1198.08,0,0,1.1,0.0013,1,2,1,False
55,52.4,256,4.89,1170.4319999999998,0,0,1.1,0.0012699999999999,1,2,1,False
54,52.6,256,4.87,1188.864,0,0,1.1,0.00129,1,2,1,False
20,38.2,256,6.7,1751.04,0,0,7.0,0.0019,1,2,1,False
51,39.0,256,6.56,1787.904,0,0,7.67,0.00194,1,2,1,False
156,61.4,256,4.17,1013.76,0,0,0.345,0.0011,1,2,1,False
128,125.0,256,2.05,462.6432,0,0,0.136,0.000502,1,2,1,False
67,33.5,256,7.64,2082.816,0,0,8.0,0.00226,1,2,1,False
136,40.0,256,6.4,1714.176,0,0,7.0,0.0018599999999999,1,2,1,False
134,32.3,256,7.93,2285.568,0,0,13.0,0.00248,1,2,1,False
135,15.0,256,17.1,6580.224,0,0,70.0,0.00714,1,2,1,False
170,83.9,256,3.05,737.28,0,0,1.0,0.0007999999999999,1,2,1,False
180,81.5,256,3.14,850.6368,0,0,3.0,0.000923,1,2,1,False
139,32.7,256,7.83,1999.872,0,0,7.0,0.00217,1,2,1,False
153,35.5,256,7.21,1751.04,0,0,4.0,0.0019,1,2,1,False
154,35.6,256,7.19,1787.904,0,0,4.0,0.00194,1,2,1,False
133,35.0,256,7.31,2092.032,0,0,10.0,0.00227,1,2,1,False
83,63.2,256,4.05,986.112,0,0,1.3,0.00107,1,2,1,False
84,34.1,256,7.5,2009.088,0,0,7.0,0.00218,1,2,1,False
5,135.0,256,1.9,455.2704,0,0,0.126,0.000494,1,2,1,False
10,54.4,256,4.71,1382.4,0,0,6.7,0.0015,1,2,1,False
8,16.4,256,15.6,5299.2,0,0,40.0,0.00575,1,2,1,False
6,27.0,256,9.49,3050.496,0,0,20.0,0.00331,1,2,1,False
9,54.1,256,4.73,1410.048,0,0,6.7,0.00153,1,2,1,False
4,71.3,256,3.59,892.1088000000001,0,0,1.3,0.000968,1,2,1,False
7,70.9,256,3.61,849.7152000000001,0,0,0.356,0.000922,1,2,1,False
178,39.9,256,6.42,1695.744,0,0,7.0,0.00184,1,2,1,False
1,20.3,256,12.6,4340.736,0,0,34.0,0.00471,1,2,1,False
0,19.8,256,12.9,4285.4400000000005,0,0,34.0,0.00465,1,2,1,False
3,37.6,256,6.8,1778.688,0,0,6.0,0.00193,1,2,1,False
2,38.6,256,6.63,1751.04,0,0,6.0,0.0019,1,2,1,False
163,33.9,256,7.56,2009.088,0,0,7.0,0.00218,1,2,1,False
68,33.1,256,7.74,2294.784,0,0,13.0,0.00249,1,2,1,False
141,38.5,256,6.65,2663.424,0,0,30.0,0.0028899999999999,1,2,1,False
142,61.5,256,4.16,1207.296,0,0,7.0,0.00131,1,2,1,False
64,26.7,256,9.58,2386.9440000000004,0,0,6.0,0.00259,1,2,1,False
63,25.6,256,10.0,2875.3920000000003,0,0,16.0,0.00312,1,2,1,False
65,27.1,256,9.44,2368.512,0,0,6.0,0.00257,1,2,1,False
77,72.3,256,3.54,1069.056,0,0,5.0,0.00116,1,2,1,False
78,27.2,256,9.42,2985.984,0,0,20.0,0.00324,1,2,1,False
162,40.9,256,6.26,1760.256,0,0,7.0,0.00191,1,2,1,False
46,50.7,256,5.05,1207.296,0,0,8.0,0.00131,1,2,1,False
120,121.0,256,2.11,476.4672,0,0,0.124,0.000517,1,2,1,False
112,53.8,256,4.76,1124.352,0,0,0.4,0.00122,1,2,1,False
111,40.8,256,6.27,1760.256,0,0,7.0,0.00191,1,2,1,False
47,37.0,256,6.92,1797.12,0,0,7.0,0.00195,1,2,1,False
95,158.0,256,1.62,357.5808,0,0,0.111,0.000388,1,2,1,False
96,36.3,256,7.06,2202.6240000000003,0,0,13.0,0.00239,1,2,1,False
99,54.5,256,4.7,1373.184,0,0,6.7,0.00149,1,2,1,False
97,54.9,256,4.66,1170.4319999999998,0,0,2.7,0.0012699999999999,1,2,1,False
98,115.0,256,2.22,534.528,0,0,0.256,0.00058,1,2,1,False
94,72.1,256,3.55,886.5792,0,0,1.3,0.000962,1,2,1,False
137,52.5,256,4.88,1152.0,0,0,1.3,0.00125,1,2,1,False
131,41.0,256,6.25,1704.96,0,0,7.0,0.00185,1,2,1,False
132,39.4,256,6.5,1677.312,0,0,7.0,0.00182,1,2,1,False
114,194.0,256,1.32,312.4224,0,0,0.031,0.000339,1,2,1,False
173,65.6,256,3.9,976.896,0,0,1.0,0.00106,1,2,1,False
171,17.4,256,14.7,4829.184,0,0,40.0,0.00524,1,2,1,False
117,49.6,256,5.16,1492.992,0,0,7.5,0.00162,1,2,1,False
116,68.6,256,3.73,949.248,0,0,0.564,0.00103,1,2,1,False
115,34.2,256,7.48,1870.848,0,0,4.5,0.00203,1,2,1,False
102,19.8,256,12.9,4340.736,0,0,34.0,0.00471,1,2,1,False
103,16.2,256,15.8,4626.432,0,0,26.0,0.00502,1,2,1,False
90,51.2,256,5.0,1419.264,0,0,7.0,0.00154,1,2,1,False
89,53.0,256,4.83,1234.944,0,0,3.0,0.00134,1,2,1,False
12,112.0,256,2.28,544.6656,0,0,0.218,0.000591,1,2,1,False
14,109.0,256,2.34,542.8224,0,0,0.22,0.000589,1,2,1,False
15,192.0,256,1.33,313.344,0,0,0.081,0.0003399999999999,1,2,1,False
16,188.0,256,1.36,313.344,0,0,0.058,0.0003399999999999,1,2,1,False
