,model,throughput,response_length,latency,energy,gpu,task,parameters_count,energy_per_token,dtype,optimization,quantization,cuda-fp16
0,EleutherAI/gpt-neox-20b,27.4,256,9.34,3013.632,NVIDIA A100-SXM4-80GB,chat,20.0,0.00327,float16,,gptq-4bit+exllama-v1,False
5,EleutherAI/pythia-12b,36.6,256,6.99,2101.2480000000005,NVIDIA A100-SXM4-80GB,chat,12.0,0.00228,float16,,gptq-4bit+exllama-v1,False
7,EleutherAI/pythia-12b-deduped,36.6,256,7.0,2082.816,NVIDIA A100-SXM4-80GB,chat,12.0,0.00226,float16,,gptq-4bit+exllama-v1,False
10,EleutherAI/polyglot-ko-12.8b,33.4,256,7.67,2313.216,NVIDIA A100-SXM4-80GB,chat,12.8,0.00251,float16,,gptq-4bit+exllama-v1,False
25,DevaMalla/llama-base-7b,39.1,256,6.54,1815.5520000000004,NVIDIA A100-SXM4-80GB,chat,7.0,0.00197,float16,,gptq-4bit+exllama-v1,False
34,NYTK/PULI-GPTrio,41.0,256,6.25,1723.392,NVIDIA A100-SXM4-80GB,chat,7.67,0.00187,float16,,gptq-4bit+exllama-v1,False
36,meta-llama/Llama-2-7b-hf,40.1,256,6.38,1751.04,NVIDIA A100-SXM4-80GB,chat,7.0,0.0019,float16,,gptq-4bit+exllama-v1,False
37,meta-llama/Llama-2-13b-hf,31.8,256,8.06,2451.456,NVIDIA A100-SXM4-80GB,chat,13.0,0.00266,float16,,gptq-4bit+exllama-v1,False
38,meta-llama/Llama-2-70b-hf,13.1,256,19.6,7483.392000000001,NVIDIA A100-SXM4-80GB,chat,70.0,0.00812,float16,,gptq-4bit+exllama-v1,False
40,mistralai/Mistral-7B-v0.1,31.7,256,8.08,2156.544,NVIDIA A100-SXM4-80GB,chat,7.0,0.00234,float16,,gptq-4bit+exllama-v1,False
43,matsuo-lab/weblab-10b,36.4,256,7.04,1999.872,NVIDIA A100-SXM4-80GB,chat,10.0,0.00217,float16,,gptq-4bit+exllama-v1,False
45,augmxnt/shisa-base-7b-v1,32.4,256,7.91,2128.896,NVIDIA A100-SXM4-80GB,chat,7.0,0.00231,float16,,gptq-4bit+exllama-v1,False
48,AI-Sweden-Models/gpt-sw3-40b,23.1,256,11.1,4165.632,NVIDIA A100-SXM4-80GB,chat,40.0,0.00452,float16,,gptq-4bit+exllama-v1,False
