,model,throughput,response_length,latency,energy,gpu,task,parameters_count,energy_per_token,dtype,optimization,quantization,cuda-fp16
49,AI-Sweden-Models/gpt-sw3-20b,34.7,256,7.37,2515.9680000000003,NVIDIA A100-SXM4-80GB,chat,20.0,0.00273,float16,,gptq-4bit+exllama-v1,False
53,uukuguy/Orca-2-7b-f16,40.1,256,6.39,1760.256,NVIDIA A100-SXM4-80GB,chat,7.0,0.00191,float16,,gptq-4bit+exllama-v1,False
54,01-ai/Yi-34B-200K,19.1,256,13.4,4635.648,NVIDIA A100-SXM4-80GB,chat,34.0,0.00503,float16,,gptq-4bit+exllama-v1,False
55,01-ai/Yi-34B,19.4,256,13.2,4654.08,NVIDIA A100-SXM4-80GB,chat,34.0,0.00505,float16,,gptq-4bit+exllama-v1,False
58,scb10x/typhoon-7b,32.0,256,8.0,2128.896,NVIDIA A100-SXM4-80GB,chat,7.0,0.00231,float16,,gptq-4bit+exllama-v1,False
59,TheBloke/Llama-2-13B-fp16,31.6,256,8.1,2423.808,NVIDIA A100-SXM4-80GB,chat,13.0,0.00263,float16,,gptq-4bit+exllama-v1,False
61,Salesforce/codegen-16B-nl,26.2,256,9.76,2930.688,NVIDIA A100-SXM4-80GB,chat,16.0,0.00318,float16,,gptq-4bit+exllama-v1,False
64,Writer/palmyra-large,34.9,256,7.34,2515.9680000000003,NVIDIA A100-SXM4-80GB,chat,20.0,0.00273,float16,,gptq-4bit+exllama-v1,False
65,sarvamai/OpenHathi-7B-Hi-v0.1-Base,39.3,256,6.52,1751.04,NVIDIA A100-SXM4-80GB,chat,7.0,0.0019,float16,,gptq-4bit+exllama-v1,False
66,deepseek-ai/deepseek-llm-67b-base,12.0,256,21.3,7833.6,NVIDIA A100-SXM4-80GB,chat,67.0,0.0085,float16,,gptq-4bit+exllama-v1,False
69,cyberagent/calm2-7b-chat,39.3,256,6.51,1769.4719999999998,NVIDIA A100-SXM4-80GB,chat,7.0,0.0019199999999999,float16,,gptq-4bit+exllama-v1,False
70,Kunhao/pile-7b-250b-tokens,37.1,256,6.9,1870.848,NVIDIA A100-SXM4-80GB,chat,7.0,0.00203,float16,,gptq-4bit+exllama-v1,False
72,cerebras/Cerebras-GPT-13B,44.6,256,5.74,1870.848,NVIDIA A100-SXM4-80GB,chat,13.0,0.00203,float16,,gptq-4bit+exllama-v1,False
76,itsliupeng/openllama-7b-base,39.6,256,6.47,1751.04,NVIDIA A100-SXM4-80GB,chat,7.0,0.0019,float16,,gptq-4bit+exllama-v1,False
77,itsliupeng/openllama-7b-icl,39.0,256,6.57,1797.12,NVIDIA A100-SXM4-80GB,chat,7.0,0.00195,float16,,gptq-4bit+exllama-v1,False
80,tiiuae/falcon-40b,15.1,256,16.9,5686.272,NVIDIA A100-SXM4-80GB,chat,40.0,0.00617,float16,,gptq-4bit+exllama-v1,False
81,facebook/xglm-7.5B,51.9,256,4.93,1456.128,NVIDIA A100-SXM4-80GB,chat,7.5,0.0015799999999999,float16,,gptq-4bit+exllama-v1,False
84,chargoddard/Yi-34B-Llama,19.4,256,13.2,4626.432,NVIDIA A100-SXM4-80GB,chat,34.0,0.00502,float16,,gptq-4bit+exllama-v1,False
85,chargoddard/llama-2-26b-trenchcoat-stack,15.7,256,16.3,4866.048,NVIDIA A100-SXM4-80GB,chat,26.0,0.00528,float16,,gptq-4bit+exllama-v1,False
86,bigscience/bloom-7b1,54.1,256,4.73,1382.4,NVIDIA A100-SXM4-80GB,chat,7.0,0.0015,float16,,gptq-4bit+exllama-v1,False
93,seungduk/KoSOLAR-10.7B-v0.1,24.2,256,10.6,2893.824,NVIDIA A100-SXM4-80GB,chat,10.7,0.00314,float16,,gptq-4bit+exllama-v1,False
96,TurkuNLP/gpt3-finnish-13B,41.2,256,6.22,2009.088,NVIDIA A100-SXM4-80GB,chat,13.0,0.00218,float16,,gptq-4bit+exllama-v1,False
97,rishiraj/CatPPT-base,32.1,256,7.98,2119.68,NVIDIA A100-SXM4-80GB,chat,7.24,0.0023,float16,,gptq-4bit+exllama-v1,False
100,stabilityai/japanese-stablelm-base-gamma-7b,32.1,256,7.98,2092.032,NVIDIA A100-SXM4-80GB,chat,7.0,0.00227,float16,,gptq-4bit+exllama-v1,False
101,stabilityai/stablelm-base-alpha-7b,79.3,256,3.23,1050.6240000000005,NVIDIA A100-SXM4-80GB,chat,7.0,0.00114,float16,,gptq-4bit+exllama-v1,False
104,huggyllama/llama-65b,13.5,256,18.9,7151.616,NVIDIA A100-SXM4-80GB,chat,65.0,0.00776,float16,,gptq-4bit+exllama-v1,False
105,huggyllama/llama-13b,31.3,256,8.18,2506.752,NVIDIA A100-SXM4-80GB,chat,13.0,0.0027199999999999,float16,,gptq-4bit+exllama-v1,False
106,NucleusAI/nucleus-22B-token-500B,31.4,256,8.16,2829.312,NVIDIA A100-SXM4-80GB,chat,22.0,0.00307,float16,,gptq-4bit+exllama-v1,False
112,openlm-research/open_llama_7b_v2,37.4,256,6.85,1797.12,NVIDIA A100-SXM4-80GB,chat,7.0,0.00195,float16,,gptq-4bit+exllama-v1,False
113,openlm-research/open_llama_7b,39.9,256,6.42,1760.256,NVIDIA A100-SXM4-80GB,chat,7.0,0.00191,float16,,gptq-4bit+exllama-v1,False
114,openlm-research/open_llama_13b,31.1,256,8.22,2442.24,NVIDIA A100-SXM4-80GB,chat,13.0,0.00265,float16,,gptq-4bit+exllama-v1,False
115,abhinand/tamil-llama-7b-base-v0.1,39.6,256,6.47,1797.12,NVIDIA A100-SXM4-80GB,chat,7.0,0.00195,float16,,gptq-4bit+exllama-v1,False
116,abhinand/tamil-llama-13b-base-v0.1,31.4,256,8.15,2442.24,NVIDIA A100-SXM4-80GB,chat,13.0,0.00265,float16,,gptq-4bit+exllama-v1,False
117,golaxy/gowizardlm,39.1,256,6.55,1797.12,NVIDIA A100-SXM4-80GB,chat,7.0,0.00195,float16,,gptq-4bit+exllama-v1,False
120,togethercomputer/RedPajama-INCITE-7B-Base,42.4,256,6.04,1668.096,NVIDIA A100-SXM4-80GB,chat,7.0,0.00181,float16,,gptq-4bit+exllama-v1,False
122,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,42.0,256,6.1,1658.88,NVIDIA A100-SXM4-80GB,chat,7.0,0.0018,float16,,gptq-4bit+exllama-v1,False
123,Devio/test-22B,30.5,256,8.39,2783.2319999999995,NVIDIA A100-SXM4-80GB,chat,22.0,0.0030199999999999,float16,,gptq-4bit+exllama-v1,False
124,internlm/internlm-20b,17.3,256,14.8,4396.032,NVIDIA A100-SXM4-80GB,chat,20.0,0.00477,float16,,gptq-4bit+exllama-v1,False
125,Delcos/Starling-LM-11B-alpha,21.0,256,12.2,3299.328,NVIDIA A100-SXM4-80GB,chat,11.0,0.00358,float16,,gptq-4bit+exllama-v1,False
128,upstage/SOLAR-10.7B-v1.0,24.4,256,10.5,2903.04,NVIDIA A100-SXM4-80GB,chat,10.7,0.00315,float16,,gptq-4bit+exllama-v1,False
129,huggingface/llama-7b,38.0,256,6.73,1760.256,NVIDIA A100-SXM4-80GB,chat,7.0,0.00191,float16,,gptq-4bit+exllama-v1,False
130,huggingface/llama-65b,13.5,256,18.9,7123.968000000001,NVIDIA A100-SXM4-80GB,chat,65.0,0.00773,float16,,gptq-4bit+exllama-v1,False
131,huggingface/llama-30b,21.3,256,12.0,4267.008,NVIDIA A100-SXM4-80GB,chat,30.0,0.00463,float16,,gptq-4bit+exllama-v1,False
132,huggingface/llama-13b,31.3,256,8.19,2433.024,NVIDIA A100-SXM4-80GB,chat,13.0,0.00264,float16,,gptq-4bit+exllama-v1,False
136,fblgit/una-llama-7b,40.4,256,6.34,1732.608,NVIDIA A100-SXM4-80GB,chat,7.0,0.00188,float16,,gptq-4bit+exllama-v1,False
137,codellama/CodeLlama-7b-hf,39.0,256,6.56,1751.04,NVIDIA A100-SXM4-80GB,chat,7.0,0.0019,float16,,gptq-4bit+exllama-v1,False
138,codellama/CodeLlama-13b-hf,32.3,256,7.92,2414.592,NVIDIA A100-SXM4-80GB,chat,13.0,0.00262,float16,,gptq-4bit+exllama-v1,False
139,EleutherAI/gpt-neox-20b,25.6,256,10.0,2995.2,NVIDIA A100-SXM4-80GB,chat,20.0,0.00325,float16,,awq-4bit+gemv,False
143,EleutherAI/pythia-12b,35.3,256,7.25,2082.816,NVIDIA A100-SXM4-80GB,chat,12.0,0.00226,float16,,awq-4bit+gemv,False
145,EleutherAI/pythia-12b-deduped,35.7,256,7.18,2128.896,NVIDIA A100-SXM4-80GB,chat,12.0,0.00231,float16,,awq-4bit+gemv,False
148,EleutherAI/polyglot-ko-12.8b,31.4,256,8.16,2368.512,NVIDIA A100-SXM4-80GB,chat,12.8,0.00257,float16,,awq-4bit+gemv,False
164,DevaMalla/llama-base-7b,41.3,256,6.2,1631.232,NVIDIA A100-SXM4-80GB,chat,7.0,0.00177,float16,,awq-4bit+gemv,False
173,Deci/DeciLM-7B,38.2,256,6.7,1751.04,NVIDIA A100-SXM4-80GB,chat,7.0,0.0019,float16,,awq-4bit+gemv,False
174,NYTK/PULI-GPTrio,39.0,256,6.56,1787.904,NVIDIA A100-SXM4-80GB,chat,7.67,0.00194,float16,,awq-4bit+gemv,False
177,TencentARC/LLaMA-Pro-8B,33.5,256,7.64,2082.816,NVIDIA A100-SXM4-80GB,chat,8.0,0.00226,float16,,awq-4bit+gemv,False
178,meta-llama/Llama-2-7b-hf,40.0,256,6.4,1714.176,NVIDIA A100-SXM4-80GB,chat,7.0,0.0018599999999999,float16,,awq-4bit+gemv,False
179,meta-llama/Llama-2-13b-hf,32.3,256,7.93,2285.568,NVIDIA A100-SXM4-80GB,chat,13.0,0.00248,float16,,awq-4bit+gemv,False
180,meta-llama/Llama-2-70b-hf,15.0,256,17.1,6580.224,NVIDIA A100-SXM4-80GB,chat,70.0,0.00714,float16,,awq-4bit+gemv,False
183,mistralai/Mistral-7B-v0.1,32.7,256,7.83,1999.872,NVIDIA A100-SXM4-80GB,chat,7.0,0.00217,float16,,awq-4bit+gemv,False
186,matsuo-lab/weblab-10b,35.0,256,7.31,2092.032,NVIDIA A100-SXM4-80GB,chat,10.0,0.00227,float16,,awq-4bit+gemv,False
188,augmxnt/shisa-base-7b-v1,34.1,256,7.5,2009.088,NVIDIA A100-SXM4-80GB,chat,7.0,0.00218,float16,,awq-4bit+gemv,False
191,AI-Sweden-Models/gpt-sw3-40b,16.4,256,15.6,5299.2,NVIDIA A100-SXM4-80GB,chat,40.0,0.00575,float16,,awq-4bit+gemv,False
192,AI-Sweden-Models/gpt-sw3-20b,27.0,256,9.49,3050.496,NVIDIA A100-SXM4-80GB,chat,20.0,0.00331,float16,,awq-4bit+gemv,False
196,uukuguy/Orca-2-7b-f16,39.9,256,6.42,1695.744,NVIDIA A100-SXM4-80GB,chat,7.0,0.00184,float16,,awq-4bit+gemv,False
197,01-ai/Yi-34B-200K,20.3,256,12.6,4340.736,NVIDIA A100-SXM4-80GB,chat,34.0,0.00471,float16,,awq-4bit+gemv,False
198,01-ai/Yi-34B,19.8,256,12.9,4285.4400000000005,NVIDIA A100-SXM4-80GB,chat,34.0,0.00465,float16,,awq-4bit+gemv,False
201,scb10x/typhoon-7b,33.9,256,7.56,2009.088,NVIDIA A100-SXM4-80GB,chat,7.0,0.00218,float16,,awq-4bit+gemv,False
202,TheBloke/Llama-2-13B-fp16,33.1,256,7.74,2294.784,NVIDIA A100-SXM4-80GB,chat,13.0,0.00249,float16,,awq-4bit+gemv,False
203,mosaicml/mpt-30b,38.5,256,6.65,2663.424,NVIDIA A100-SXM4-80GB,chat,30.0,0.0028899999999999,float16,,awq-4bit+gemv,False
204,mosaicml/mpt-7b,61.5,256,4.16,1207.296,NVIDIA A100-SXM4-80GB,chat,7.0,0.00131,float16,,awq-4bit+gemv,False
206,Salesforce/codegen-16B-nl,25.6,256,10.0,2875.3920000000003,NVIDIA A100-SXM4-80GB,chat,16.0,0.00312,float16,,awq-4bit+gemv,False
209,Writer/palmyra-large,27.2,256,9.42,2985.984,NVIDIA A100-SXM4-80GB,chat,20.0,0.00324,float16,,awq-4bit+gemv,False
210,sarvamai/OpenHathi-7B-Hi-v0.1-Base,40.9,256,6.26,1760.256,NVIDIA A100-SXM4-80GB,chat,7.0,0.00191,float16,,awq-4bit+gemv,False
211,KnutJaegersberg/Qwen-1_8B-Llamafied,50.7,256,5.05,1207.296,NVIDIA A100-SXM4-80GB,chat,8.0,0.00131,float16,,awq-4bit+gemv,False
214,cyberagent/calm2-7b-chat,40.8,256,6.27,1760.256,NVIDIA A100-SXM4-80GB,chat,7.0,0.00191,float16,,awq-4bit+gemv,False
215,Kunhao/pile-7b-250b-tokens,37.0,256,6.92,1797.12,NVIDIA A100-SXM4-80GB,chat,7.0,0.00195,float16,,awq-4bit+gemv,False
217,cerebras/Cerebras-GPT-13B,36.3,256,7.06,2202.6240000000003,NVIDIA A100-SXM4-80GB,chat,13.0,0.00239,float16,,awq-4bit+gemv,False
223,itsliupeng/openllama-7b-base,41.0,256,6.25,1704.96,NVIDIA A100-SXM4-80GB,chat,7.0,0.00185,float16,,awq-4bit+gemv,False
224,itsliupeng/openllama-7b-icl,39.4,256,6.5,1677.312,NVIDIA A100-SXM4-80GB,chat,7.0,0.00182,float16,,awq-4bit+gemv,False
227,tiiuae/falcon-40b,17.4,256,14.7,4829.184,NVIDIA A100-SXM4-80GB,chat,40.0,0.00524,float16,,awq-4bit+gemv,False
228,facebook/xglm-7.5B,49.6,256,5.16,1492.992,NVIDIA A100-SXM4-80GB,chat,7.5,0.00162,float16,,awq-4bit+gemv,False
231,chargoddard/Yi-34B-Llama,19.8,256,12.9,4340.736,NVIDIA A100-SXM4-80GB,chat,34.0,0.00471,float16,,awq-4bit+gemv,False
232,chargoddard/llama-2-26b-trenchcoat-stack,16.2,256,15.8,4626.432,NVIDIA A100-SXM4-80GB,chat,26.0,0.00502,float16,,awq-4bit+gemv,False
233,bigscience/bloom-7b1,51.2,256,5.0,1419.264,NVIDIA A100-SXM4-80GB,chat,7.0,0.00154,float16,,awq-4bit+gemv,False
240,seungduk/KoSOLAR-10.7B-v0.1,25.1,256,10.2,2727.936,NVIDIA A100-SXM4-80GB,chat,10.7,0.00296,float16,,awq-4bit+gemv,False
243,TurkuNLP/gpt3-finnish-13B,39.4,256,6.49,2018.304,NVIDIA A100-SXM4-80GB,chat,13.0,0.00219,float16,,awq-4bit+gemv,False
244,rishiraj/CatPPT-base,33.3,256,7.68,2018.304,NVIDIA A100-SXM4-80GB,chat,7.24,0.00219,float16,,awq-4bit+gemv,False
248,stabilityai/japanese-stablelm-base-gamma-7b,33.3,256,7.68,1981.44,NVIDIA A100-SXM4-80GB,chat,7.0,0.00215,float16,,awq-4bit+gemv,False
249,stabilityai/stablelm-base-alpha-7b,74.2,256,3.45,1087.4879999999998,NVIDIA A100-SXM4-80GB,chat,7.0,0.0011799999999999,float16,,awq-4bit+gemv,False
251,stabilityai/stablelm-base-alpha-7b-v2,41.5,256,6.17,1668.096,NVIDIA A100-SXM4-80GB,chat,7.0,0.00181,float16,,awq-4bit+gemv,False
252,huggyllama/llama-13b,31.8,256,8.05,2294.784,NVIDIA A100-SXM4-80GB,chat,13.0,0.00249,float16,,awq-4bit+gemv,False
253,NucleusAI/nucleus-22B-token-500B,32.2,256,7.96,2709.504,NVIDIA A100-SXM4-80GB,chat,22.0,0.00294,float16,,awq-4bit+gemv,False
260,openlm-research/open_llama_7b_v2,39.7,256,6.45,1649.664,NVIDIA A100-SXM4-80GB,chat,7.0,0.00179,float16,,awq-4bit+gemv,False
261,openlm-research/open_llama_7b,41.3,256,6.2,1695.744,NVIDIA A100-SXM4-80GB,chat,7.0,0.00184,float16,,awq-4bit+gemv,False
262,openlm-research/open_llama_13b,32.6,256,7.85,2322.432,NVIDIA A100-SXM4-80GB,chat,13.0,0.00252,float16,,awq-4bit+gemv,False
263,abhinand/tamil-llama-7b-base-v0.1,40.9,256,6.26,1714.176,NVIDIA A100-SXM4-80GB,chat,7.0,0.0018599999999999,float16,,awq-4bit+gemv,False
264,abhinand/tamil-llama-13b-base-v0.1,32.6,256,7.85,2294.784,NVIDIA A100-SXM4-80GB,chat,13.0,0.00249,float16,,awq-4bit+gemv,False
265,golaxy/gowizardlm,38.6,256,6.63,1695.744,NVIDIA A100-SXM4-80GB,chat,7.0,0.00184,float16,,awq-4bit+gemv,False
268,togethercomputer/RedPajama-INCITE-7B-Base,39.0,256,6.57,1824.768,NVIDIA A100-SXM4-80GB,chat,7.0,0.00198,float16,,awq-4bit+gemv,False
270,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,40.1,256,6.39,1751.04,NVIDIA A100-SXM4-80GB,chat,7.0,0.0019,float16,,awq-4bit+gemv,False
271,Devio/test-22B,32.1,256,7.97,2654.208,NVIDIA A100-SXM4-80GB,chat,22.0,0.0028799999999999,float16,,awq-4bit+gemv,False
272,internlm/internlm-20b,17.8,256,14.4,4193.28,NVIDIA A100-SXM4-80GB,chat,20.0,0.0045499999999999,float16,,awq-4bit+gemv,False
273,Delcos/Starling-LM-11B-alpha,21.3,256,12.0,3115.008,NVIDIA A100-SXM4-80GB,chat,11.0,0.0033799999999999,float16,,awq-4bit+gemv,False
276,upstage/SOLAR-10.7B-v1.0,25.1,256,10.2,2727.936,NVIDIA A100-SXM4-80GB,chat,10.7,0.00296,float16,,awq-4bit+gemv,False
277,huggingface/llama-7b,39.9,256,6.41,1714.176,NVIDIA A100-SXM4-80GB,chat,7.0,0.0018599999999999,float16,,awq-4bit+gemv,False
278,huggingface/llama-30b,21.7,256,11.8,3999.744,NVIDIA A100-SXM4-80GB,chat,30.0,0.00434,float16,,awq-4bit+gemv,False
279,huggingface/llama-13b,32.7,256,7.83,2285.568,NVIDIA A100-SXM4-80GB,chat,13.0,0.00248,float16,,awq-4bit+gemv,False
283,fblgit/una-llama-7b,41.0,256,6.24,1686.528,NVIDIA A100-SXM4-80GB,chat,7.0,0.00183,float16,,awq-4bit+gemv,False
284,codellama/CodeLlama-7b-hf,39.9,256,6.42,1695.744,NVIDIA A100-SXM4-80GB,chat,7.0,0.00184,float16,,awq-4bit+gemv,False
285,codellama/CodeLlama-13b-hf,32.9,256,7.79,2285.568,NVIDIA A100-SXM4-80GB,chat,13.0,0.00248,float16,,awq-4bit+gemv,False
286,codellama/CodeLlama-34b-hf,24.4,256,10.5,3741.696,NVIDIA A100-SXM4-80GB,chat,34.0,0.00406,float16,,awq-4bit+gemv,False
587,DevaMalla/llama-base-7b,28.4,256,9.02,2368.512,NVIDIA A100-SXM4-80GB,chat,7.0,0.00257,float16,,gptq-4bit,True
597,meta-llama/Llama-2-7b-hf,28.5,256,8.99,2433.024,NVIDIA A100-SXM4-80GB,chat,7.0,0.00264,float16,,gptq-4bit,True
598,meta-llama/Llama-2-13b-hf,23.3,256,11.0,3170.304,NVIDIA A100-SXM4-80GB,chat,13.0,0.00344,float16,,gptq-4bit,True
602,matsuo-lab/weblab-10b,28.0,256,9.14,2525.184,NVIDIA A100-SXM4-80GB,chat,10.0,0.00274,float16,,gptq-4bit,True
604,augmxnt/shisa-base-7b-v1,24.2,256,10.6,2893.824,NVIDIA A100-SXM4-80GB,chat,7.0,0.00314,float16,,gptq-4bit,True
608,uukuguy/Orca-2-7b-f16,27.9,256,9.19,2377.728,NVIDIA A100-SXM4-80GB,chat,7.0,0.00258,float16,,gptq-4bit,True
611,TheBloke/Llama-2-13B-fp16,22.5,256,11.4,3262.464,NVIDIA A100-SXM4-80GB,chat,13.0,0.00354,float16,,gptq-4bit,True
615,sarvamai/OpenHathi-7B-Hi-v0.1-Base,28.4,256,9.02,2433.024,NVIDIA A100-SXM4-80GB,chat,7.0,0.00264,float16,,gptq-4bit,True
618,cyberagent/calm2-7b-chat,28.6,256,8.96,2396.16,NVIDIA A100-SXM4-80GB,chat,7.0,0.0026,float16,,gptq-4bit,True
619,Kunhao/pile-7b-250b-tokens,26.4,256,9.68,2525.184,NVIDIA A100-SXM4-80GB,chat,7.0,0.00274,float16,,gptq-4bit,True
621,cerebras/Cerebras-GPT-13B,33.4,256,7.67,2368.512,NVIDIA A100-SXM4-80GB,chat,13.0,0.00257,float16,,gptq-4bit,True
625,itsliupeng/openllama-7b-base,28.3,256,9.04,2414.592,NVIDIA A100-SXM4-80GB,chat,7.0,0.00262,float16,,gptq-4bit,True
647,openlm-research/open_llama_7b_v2,28.3,256,9.04,2377.728,NVIDIA A100-SXM4-80GB,chat,7.0,0.00258,float16,,gptq-4bit,True
648,openlm-research/open_llama_7b,28.3,256,9.06,2368.512,NVIDIA A100-SXM4-80GB,chat,7.0,0.00257,float16,,gptq-4bit,True
649,openlm-research/open_llama_13b,22.7,256,11.3,3216.384,NVIDIA A100-SXM4-80GB,chat,13.0,0.00349,float16,,gptq-4bit,True
650,abhinand/tamil-llama-13b-base-v0.1,23.1,256,11.1,3225.6,NVIDIA A100-SXM4-80GB,chat,13.0,0.0035,float16,,gptq-4bit,True
651,golaxy/gowizardlm,28.8,256,8.89,2377.728,NVIDIA A100-SXM4-80GB,chat,7.0,0.00258,float16,,gptq-4bit,True
654,togethercomputer/RedPajama-INCITE-7B-Base,33.1,256,7.74,2092.032,NVIDIA A100-SXM4-80GB,chat,7.0,0.00227,float16,,gptq-4bit,True
656,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,32.7,256,7.83,2073.6000000000004,NVIDIA A100-SXM4-80GB,chat,7.0,0.00225,float16,,gptq-4bit,True
659,huggingface/llama-7b,28.1,256,9.1,2423.808,NVIDIA A100-SXM4-80GB,chat,7.0,0.00263,float16,,gptq-4bit,True
660,huggingface/llama-13b,22.9,256,11.2,3207.168,NVIDIA A100-SXM4-80GB,chat,13.0,0.00348,float16,,gptq-4bit,True
664,fblgit/una-llama-7b,28.3,256,9.03,2386.9440000000004,NVIDIA A100-SXM4-80GB,chat,7.0,0.00259,float16,,gptq-4bit,True
665,codellama/CodeLlama-7b-hf,29.0,256,8.83,2340.864,NVIDIA A100-SXM4-80GB,chat,7.0,0.0025399999999999,float16,,gptq-4bit,True
1196,EleutherAI/gpt-neox-20b,27.5,256,9.32,2598.912,NVIDIA A100-SXM4-80GB,chat,20.0,0.00282,float16,,gptq-4bit+exllama-v2,False
1201,EleutherAI/pythia-12b,37.7,256,6.79,1797.12,NVIDIA A100-SXM4-80GB,chat,12.0,0.00195,float16,,gptq-4bit+exllama-v2,False
1203,EleutherAI/pythia-12b-deduped,37.6,256,6.8,1806.336,NVIDIA A100-SXM4-80GB,chat,12.0,0.00196,float16,,gptq-4bit+exllama-v2,False
1206,EleutherAI/polyglot-ko-12.8b,33.8,256,7.57,1990.656,NVIDIA A100-SXM4-80GB,chat,12.8,0.00216,float16,,gptq-4bit+exllama-v2,False
1221,DevaMalla/llama-base-7b,39.6,256,6.46,1631.232,NVIDIA A100-SXM4-80GB,chat,7.0,0.00177,float16,,gptq-4bit+exllama-v2,False
1230,NYTK/PULI-GPTrio,40.6,256,6.31,1622.016,NVIDIA A100-SXM4-80GB,chat,7.67,0.00176,float16,,gptq-4bit+exllama-v2,False
1232,meta-llama/Llama-2-7b-hf,39.7,256,6.45,1594.368,NVIDIA A100-SXM4-80GB,chat,7.0,0.00173,float16,,gptq-4bit+exllama-v2,False
1233,meta-llama/Llama-2-13b-hf,31.9,256,8.02,2119.68,NVIDIA A100-SXM4-80GB,chat,13.0,0.0023,float16,,gptq-4bit+exllama-v2,False
1234,meta-llama/Llama-2-70b-hf,14.4,256,17.8,5621.76,NVIDIA A100-SXM4-80GB,chat,70.0,0.0061,float16,,gptq-4bit+exllama-v2,False
1236,mistralai/Mistral-7B-v0.1,32.7,256,7.82,1953.792,NVIDIA A100-SXM4-80GB,chat,7.0,0.00212,float16,,gptq-4bit+exllama-v2,False
1239,matsuo-lab/weblab-10b,37.3,256,6.86,1852.416,NVIDIA A100-SXM4-80GB,chat,10.0,0.0020099999999999,float16,,gptq-4bit+exllama-v2,False
1240,augmxnt/shisa-base-7b-v1,32.4,256,7.89,1990.656,NVIDIA A100-SXM4-80GB,chat,7.0,0.00216,float16,,gptq-4bit+exllama-v2,False
1241,uukuguy/Orca-2-7b-f16,40.1,256,6.38,1622.016,NVIDIA A100-SXM4-80GB,chat,7.0,0.00176,float16,,gptq-4bit+exllama-v2,False
1242,01-ai/Yi-34B-200K,19.4,256,13.2,3796.992,NVIDIA A100-SXM4-80GB,chat,34.0,0.00412,float16,,gptq-4bit+exllama-v2,False
1243,01-ai/Yi-34B,19.0,256,13.5,3852.288,NVIDIA A100-SXM4-80GB,chat,34.0,0.00418,float16,,gptq-4bit+exllama-v2,False
1246,scb10x/typhoon-7b,32.2,256,7.94,1981.44,NVIDIA A100-SXM4-80GB,chat,7.0,0.00215,float16,,gptq-4bit+exllama-v2,False
1247,TheBloke/Llama-2-13B-fp16,31.6,256,8.11,2138.112,NVIDIA A100-SXM4-80GB,chat,13.0,0.00232,float16,,gptq-4bit+exllama-v2,False
1249,Salesforce/codegen-16B-nl,26.1,256,9.79,2534.4,NVIDIA A100-SXM4-80GB,chat,16.0,0.00275,float16,,gptq-4bit+exllama-v2,False
1251,sarvamai/OpenHathi-7B-Hi-v0.1-Base,39.4,256,6.49,1612.8,NVIDIA A100-SXM4-80GB,chat,7.0,0.00175,float16,,gptq-4bit+exllama-v2,False
