model,throughput,response_length,latency,energy,gpu,task,parameters_count,energy_per_token,dtype,optimization,quantization,cuda-fp16
BAIR/koala-13b,25.50117012651914,258.85426460711886,10.06355084504128,1946.198744123579,A100,chat-concise,13,0.0020884753939714776,float16,None,None,False
BAIR/koala-7b,32.92721737057136,247.0456682337139,7.462044263397255,1195.704790463391,A100,chat-concise,7,0.0013444486679238098,float16,None,None,False
RWKV/rwkv-raven-7b,64.47852685919943,209.4788448623237,2.9212886777848954,736.6553304231044,A100,chat-concise,7,0.0009768360180120895,float16,None,None,False
FreedomIntelligence/phoenix-inst-chat-7b,54.276457252393016,233.51108126259237,4.103907452767313,1002.3285728676934,A100,chat-concise,7,0.0011923400040328702,float16,None,None,False
camel-ai/CAMEL-13B-Combined-Data,26.30022114657458,282.4801880456682,10.72763999556464,2349.183087978496,A100,chat-concise,13,0.002310076548328789,float16,None,None,False
databricks/dolly-v2-12b,24.80980791715828,143.01410342511753,5.488031835448774,1002.4862169241038,A100,chat-concise,12,0.0019471393864020933,float16,None,None,False
lmsys/vicuna-13B,26.471361088447697,269.1239086635326,10.13281609787714,2151.007414036257,A100,chat-concise,13,0.0022201745746846012,float16,None,None,False
lmsys/vicuna-7B,33.42934778322944,272.4801880456682,8.138669158259418,1384.4621272666218,A100,chat-concise,7,0.001411378991947708,float16,None,None,False
metaai/llama-13B,21.603271794897424,78.05742108797851,3.1706939710784794,671.8356437206298,A100,chat-concise,13,0.0023908170362722963,float16,None,None,False
metaai/llama-7B,27.65154362364814,67.52249832102082,2.1186345380820564,369.4284586971132,A100,chat-concise,7,0.0015197751691128812,float16,None,None,False
tatsu-lab/alpaca-7B,33.28849736927566,124.2155809267965,3.679997416454322,596.6560735392795,A100,chat-concise,7,0.0013342754344402982,float16,None,None,False
Neutralzz/BiLLa-7B-SFT,33.545066744328324,142.316319677636,4.214619093185649,677.7428566151748,A100,chat-concise,7,0.001322841294953121,float16,None,None,False
OpenAssistant/oasst-sft-1-pythia-12b,24.918246219702905,251.1000671591672,9.773108534123995,2057.1658650100785,A100,chat-concise,12,0.00227572604407381,float16,None,None,False
h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2,33.01663685477516,206.8223640026864,6.229473677366736,998.7828710543928,A100,chat-concise,7,0.0013414394895921136,float16,None,None,False
lmsys/fastchat-t5-3b-v1.0,19.17742489592329,312.91034251175284,20.87891858265921,1744.028456346554,A100,chat-concise,3,0.0015482145623453081,float16,None,None,False
nomic-ai/gpt4all-13b-snoozy,26.07277221094992,216.6400268636669,8.208376720764958,1738.0828875083905,A100,chat-concise,13,0.002228585405362297,float16,None,None,False
openaccess-ai-collective/manticore-13b-chat-pyg,26.16054700304064,276.17058428475485,10.500794145583235,2117.0177760241745,A100,chat-concise,13,0.0021293379049149895,float16,None,None,False
StabilityAI/stablelm-tuned-alpha-7b,45.937935977440574,244.9257891202149,5.171557462488085,1199.136379785083,A100,chat-concise,7,0.0013599769955857943,float16,None,None,False
project-baize/baize-v2-7B,31.98482659469149,316.2058428475487,9.718332352424522,1593.2951074546695,A100,chat-concise,7,0.0013996641248224637,float16,None,None,False
togethercomputer/RedPajama-INCITE-7B-Chat,27.099977162771395,275.3183344526528,9.708286378669252,1423.87201108125,A100,chat-concise,7,0.0014365915872055505,float16,None,None,False
Salesforce/xgen-7b-8k-inst,48.26598174227058,274.099395567495,5.723015730856568,1272.8863495634648,A100,chat-concise,7,0.0012899683372645033,float16,None,None,False
BAIR/koala-13b,21.207721076321384,265.5732034922767,12.1433556952537,2144.8338435191445,A100,chat,13,0.0022434009565752153,float16,None,None,False
BAIR/koala-7b,26.5628207031951,261.0698455339154,9.620738416075923,1345.554839153794,A100,chat,7,0.0014316675766743066,float16,None,None,False
RWKV/rwkv-raven-7b,61.52127877000437,214.78475486903963,3.0815914876914072,735.766777367353,A100,chat,7,0.0009515557121567421,float16,None,None,False
FreedomIntelligence/phoenix-inst-chat-7b,55.838321060384565,240.3441907320349,4.122390997297159,1030.8907246474148,A100,chat,7,0.0011914518663925164,float16,None,None,False
Neutralzz/BiLLa-7B-SFT,33.57049533371462,161.80826057756883,4.794732123814392,881.4395631296157,A100,chat,7,0.001513175669879874,float16,None,None,False
OpenAssistant/oasst-sft-1-pythia-12b,25.40428806568841,259.5876427132304,9.929468848113125,2060.029685359295,A100,chat,12,0.0022043825436926113,float16,None,None,False
StabilityAI/stablelm-tuned-alpha-7b,45.42078300695383,243.87541974479515,5.208388584671265,1124.4006343183476,A100,chat,7,0.0012807092648357819,float16,None,None,False
camel-ai/CAMEL-13B-Combined-Data,24.501197269962507,291.92008059100067,13.17006271185142,2526.4594200805864,A100,chat,13,0.0024040630638869228,float16,None,None,False
databricks/dolly-v2-12b,22.10974954935886,153.75822699798522,7.943902623603982,1242.9209395567464,A100,chat,12,0.0022454461350420274,float16,None,None,False
h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2,33.19728218417469,212.4560107454668,6.392467083725633,951.077651108126,A100,chat,7,0.001243496173593483,float16,None,None,False
lmsys/fastchat-t5-3b-v1.0,19.29185069230553,314.29684351914034,20.68237582535769,1802.975494963065,A100,chat,3,0.0015934825204444963,float16,None,None,False
lmsys/vicuna-13B,21.611375785831733,280.739758226998,12.738298498406271,2600.83922397583,A100,chat,13,0.002573398739658135,float16,None,None,False
lmsys/vicuna-7B,27.25945669782727,284.9194089993284,10.297412690598655,1531.700996306237,A100,chat,7,0.0014933082322059624,float16,None,None,False
metaai/llama-13B,23.201365367977598,76.47078576225655,2.9742001407414107,631.5696930826057,A100,chat,13,0.002294157489131866,float16,None,None,False
metaai/llama-7B,27.47090162492125,60.65144392209537,1.9862404549640509,335.25658764271293,A100,chat,7,0.0015354429157592967,float16,None,None,False
nomic-ai/gpt4all-13b-snoozy,26.56728255912365,247.795836131632,9.280741749712536,2004.732918065816,A100,chat,13,0.0022472946426850627,float16,None,None,False
openaccess-ai-collective/manticore-13b-chat-pyg,26.28076743964697,288.8153122901276,10.947609359217866,2189.247364674278,A100,chat,13,0.002105581809852899,float16,None,None,False
project-baize/baize-v2-7B,31.591810721211225,326.29952988582943,10.17013366094905,1588.2741897246513,A100,chat,7,0.0013520928916994869,float16,None,None,False
tatsu-lab/alpaca-7B,28.0006749636751,132.84586971121558,4.627808613438331,684.1749345198082,A100,chat,7,0.001430594668357416,float16,None,None,False
togethercomputer/RedPajama-INCITE-7B-Chat,27.48563290418453,274.39456010745465,9.540005102660755,1457.8563905305575,A100,chat,7,0.001475831402496192,float16,None,None,False
Salesforce/xgen-7b-8k-inst,49.54232207970749,275.2686366689053,5.597276540872152,1246.0923297515117,A100,chat,7,0.0012574507668327072,float16,None,None,False
metaai/llama-13B,23.07818834714252,114.53055742108798,4.394399051080669,930.4217461383608,A100,instruct-concise,13,0.0022566072396574778,float16,None,None,False
metaai/llama-7B,28.422054486839865,106.21793149764945,3.3668744317152224,578.5248918737578,A100,instruct-concise,7,0.0015129400148164048,float16,None,None,False
BAIR/koala-13b,25.68238710094553,169.5476830087307,6.410479635487899,1266.6891084620372,A100,instruct-concise,13,0.002075275105150099,float16,None,None,False
BAIR/koala-7b,33.3282753053598,195.68065815983883,5.765067746732124,865.7973959032869,A100,instruct-concise,7,0.0012290395939048493,float16,None,None,False
